"Section","Change","Original text","Suggested text","Block ID"
"Hospital Visit","Changed / restructured","Patients are eligible* to receive a sexual assault emergency treatment program “voucher” for 180 days of free follow-up care related to the sexual assault

Follow-up care includes but is not limited to lab testing, medications, and counseling related to the sexual assault. Hospitals must issue a voucher to patients treated for sexual assault upon discharge and should place a copy of the voucher in the patient’s medical record.*All patients with private insurance, Medicare, or who are uninsured are eligible for a voucher. Patients with Medicaid do not need a voucher since all services covered by the voucher are also covered by Medicaid.

Cost - you won’t be directly billed!

Direct Billing of Survivor Prohibited. As a survivor of sexual assault, the law provides that you should not be directly billed by any ambulance provider providing transportation services, or by any hospital, health care professional, laboratory, or pharmacy for hospital emergency services or evidence collection in the emergency department. If you have insurance, your insurance will be billed, but you are not responsible for any deductible or co-pay related to these services. If you are not the primary policy holder (e.g you’re on your parents insurance), you may opt of out of your insurance being billed and a bill should be sent to the Illinois Department of Healthcare and Family Services (DHFS) Sexual Assault Emergency Treatment Program.

Voucher. Before leaving the emergency department of the facility that treated you, the hospital will give you an Authorization for Payment Voucher for follow-up healthcare, if you are eligible to receive one. You are eligible for a voucher if you are not covered by Medicaid. If you are covered by Medicaid, Medicaid will pay for your follow-up treatment, so you should present your Medicaid card to the follow-up provider. If you have follow-up healthcare visits related to the sexual assault, including but not limited to counseling, lab tests, and medications, the voucher allows you to receive services at no charge to you for 180 days following the initial hospital emergency visit. Present the voucher to the health care provider and ask them to make you a copy, so you have one for your next follow-up appointment. You may also ask the hospital for a copy from your medical record.

“Follow-up Healthcare” means healthcare services related to a sexual assault, including laboratory and pharmacy services, provided within 180 days of your initial visit for hospital emergency services. It is recommended that you or your advocate contact the provider to ensure they accept and are familiar with the voucher as a form of payment prior to service.

Number to Call If You Receive a Related Hospital Bill. You may call the hospital directly if you receive a bill for hospital emergency services or evidence collection services related to the sexual assault. If you should not have received a bill, the hospital will make the necessary adjustments. You may also contact Resilience for assistance with contacting the hospital on your behalf at 312-443-9603.","Free follow-up care related to the sexual assault

All patients can receive 180 days of free follow-up care related to the sexual assault.

Private insurance, Medicare, or uninsured patients will receive an Authorization for Payment Voucher.

Medicaid patients are automatically eligible for free follow-up care and don’t need a voucher.

Follow-up care includes but is not limited to lab testing, medications, and counseling related to the sexual assault. Hospitals must issue a voucher to patients treated for sexual assault upon discharge and should place a copy of the voucher in the patient’s medical record.

<page break>Costs

You won’t be directly billed for your outpatient care.

Direct Billing of Survivor Prohibited by Law

As a survivor of sexual assault, the law provides that you should not be directly billed by any ambulance provider providing transportation services, or by any hospital, health care professional, laboratory, or pharmacy for hospital emergency services or evidence collection in the emergency department. If you have insurance, your insurance will be billed, but you are not responsible for any deductible or co-pay related to these services.

If you are not the primary policy holder (e.g you’re on your parents insurance), you may opt of out of your insurance being billed and a bill should be sent to the Illinois Department of Healthcare and Family Services (DHFS) Sexual Assault Emergency Treatment Program. A Resilience advocate can assist with this process, if requested.

Voucher for free follow-up care related to the sexual assault

All patients can receive 180 days of free follow-up care related to the sexual assault.

Private insurance, Medicare, or uninsured patients
Before leaving the emergency department of the facility that treated you, the hospital will give you an Authorization for Payment Voucher for follow-up healthcare.

Present the voucher to the health care provider and ask them to make you a copy, so you have one for your next follow-up appointment. You may also ask the hospital for a copy from your medical record. A Resilience advocate can help.

Medicaid patients
If you are covered by Medicaid, Medicaid will pay for your follow-up treatment. Present your Medicaid card to the follow-up provider. All services covered by the voucher are also covered by Medicaid.

“Follow-up Healthcare”

means healthcare services related to a sexual assault, including laboratory and pharmacy services, provided within 180 days of your initial visit for hospital emergency services.

It is recommended that you or your advocate contact the provider to ensure they accept and are familiar with the voucher as a form of payment prior to service.

Number to Call If You Receive a Related Hospital Bill.

You may call the hospital directly if you receive a bill for hospital emergency services or evidence collection services related to the sexual assault. If you should not have received a bill, the hospital will make the necessary adjustments. You may also contact Resilience for assistance with contacting the hospital on your behalf.

ourresilience.org | 312-443-9603 | info@ourresilience.org

Inpatient Care

Inpatient care means _____________________________________________.

If you are admitted to the hospital as an inpatient, you may be billed for inpatient services provided by a hospital, health care professional, laboratory, or pharmacy. If you have insurance coverage, your insurance company will be billed and you may be responsible for any co-pay, deductible, or co-insurance assessed by your insurance company.

If you have no insurance, you may be eligible for a discount under the Hospital Uninsured Patient Discount Act. To find out if you are eligible for financial help under the Crime Victims Compensation Act, contact the Office of the Illinois Attorney General, Crime Victim Services Division at 1-800-228-3368 (Voice), 1-877-398-1130 (TTY).

A Resilience advocate can support you through the process.

ourresilience.org | 312-443-9603 | info@ourresilience.org","S05-B03"
"Hospital Visit","Changed / restructured","If pregnancy is a possibility for you, you have options. Whether you choose to continue your pregnancy or not is your choice. Illinois does not require parental consent or parental notification for those under 18 who are seeking an abortion. No one can force you to make a decision you don’t want to. You may want to discuss your options, even how to get or take a pregnancy test, with your Resilience advocate. You can call us at 312-443-9603.

Inpatient Care

If you are admitted to the hospital as an inpatient, you may be billed for inpatient services provided by a hospital, health care professional, laboratory, or pharmacy. If you have insurance coverage, your insurance company will be billed and you may be responsible for any co-pay, deductible, or co-insurance assessed by your insurance company. If you have no insurance, you may be eligible for a discount under the Hospital Uninsured Patient Discount Act.

 To find out if you are eligible for financial help under the Crime Victims Compensation Act, contact the Office of the Illinois Attorney General, Crime Victim Services Division at 1-800-228-3368 (Voice)/1-877-398-1130 (TTY). You may also contact Resilience at 312-443-9603 to work with an advocate in filing for Crime Victims Compensation. (NOTE: The information in #6 applies only if you were admitted to the hospital for inpatient services)

Evidence Collection, also known as a rape kit or Illinois State Police Sexual Assault Evidence Collection Kit (ISPECK)

Evidence collection is optional and may assist in a criminal or child protection

investigation. Evidence is collected using an Illinois State Police Sexual Assault

Evidence Collection Kit (ISPECK). Hospitals are required to offer an ISPECK to anyone at any age within 7 days of the last sexual contact, in accordance with the guidelines of the Sexual Assault Survivors Emergency Treatment Act (SASETA).

We like to think of the ISPECK as a way to ‘freeze’ a moment in time. It documents things like bruises, injuries, and physical evidence of sexual activity - like DNA (from saliva, semen, hair). It can include photos, an internal exam, a toxicology screening for the use of drugs or alcohol, testing of clothes or wigs worn during the assault, and more. All steps are optional. It’s important to note that the ISPECK cannot prove if an assault happened (you know best!) - it can only document what physical evidence is on the body.","If pregnancy is a possibility for you, you have options. Whether you choose to continue your pregnancy or not is your choice. Illinois does not require parental consent or parental notification for those under 18 who are seeking an abortion. No one can force you to make a decision you don’t want to. You may want to discuss your options, even how to get or take a pregnancy test, with your Resilience advocate. You can call us to support you through the process.

312-443-9603

Evidence Collection

What is it?

Evidence is collected using an Illinois State Police Sexual Assault Evidence Collection Kit (ISPECK). Evidence collection is optional and may assist in a criminal or child protection investigation.

Hospitals are required to offer an ISPECK to anyone at any age within 7 days of the last sexual contact, in accordance with the guidelines of the Sexual Assault Survivors Emergency Treatment Act (SASETA).

How does it work?

We like to think of the ISPECK as a way to ‘freeze’ a moment in time. It documents things like bruises, injuries, and physical evidence of sexual activity - like DNA (from saliva, semen, hair). It can include photos, an internal exam, a toxicology screening for the use of drugs or alcohol, testing of clothes or wigs worn during the assault, and more.

All steps are optional. It’s important to note that the ISPECK cannot prove if an assault happened (you know best!) - it can only document what physical evidence is on the body.

There are two steps to consenting to evidence collection:

Consent to the collection of evidence

Consent to either holding the kit in storage or releasing the evidence to law enforcement for testing.

Timeline

A patient may choose to have an ISPECK collected and may decide later whether or not they want it tested. Law enforcement must hold the ISPECK for 10 years or until the patient’s 28th birthday, whichever happens latest, while the patient decides whether or not to have the evidence tested.

Note:

Anyone at any age can consent to treatment and evidence collection related to a sexual assault. A minor under 13 years of age needs a parent, legal guardian, or healthcare power of attorney to release the kit for testing and with the assent of the sexual assault survivor.

No person, regardless of age, should be forced to complete the evidence collection process.

People with disabilities do not need a guardian present to consent to medical treatment, evidence collection, or release of evidence for testing.

If a survivor is unable to consent to the release of evidence for testing and their parent, legal guardian, and/or healthcare power of attorney refuse to do so, the State's Attorney or Attorney General can petition the court to authorize release for testing. No person with a disability should ever be forced to complete evidence collection.","S05-B04"
"Legal Process","Changed / restructured","Criminal Legal Procedures

Sexual assault and abuse are violent crimes. Like all other violent crimes, it is the responsibility of the state to prosecute the offender. Making a police report is the first step in prosecuting the person who harmed you. Anyone at any age can make a police report, and you have many options when it comes to how and where to report a sexual assault. You can report a sexual assault in person at the hospital, at a police station, or over the phone. You can choose to make the report yourself or ask a healthcare provider or loved one to do so on your behalf. Remember that reporting does not mean that you are committing to participating in a criminal investigation, but without your participation, it is more difficult for a State’s Attorney to prosecute the case. Seeking police assistance and court action may involve you in a long and complex process, but a Resilience advocate can support you through that process and answer any questions you might have.","Legal Process

Sexual assault and abuse are violent crimes, it’s the responsibility of the state to prosecute.

First Step

Making a police report is the first step in prosecuting the person who harmed you. Anyone at any age can make a police report, and you have many options when it comes to how and where to report a sexual assault.

You can report a sexual assault in person at the hospital, 
at a police station, or over the phone.

You can choose to make the report yourself or ask a healthcare provider or loved one to do so on your behalf.

Remember that reporting does not mean that you are committing to participating in a criminal investigation, but without your participation, it is more difficult for a State’s Attorney to prosecute the case.

Seeking police assistance and court action may involve you in a long and complex process, but a Resilience advocate can support you through that process and answer any questions you might have.","S06-B01"
"Legal Process","Changed / restructured","Survivors who have experienced sexual or domestic violence committed by a City of Chicago police officer can report the incident to Civilian Office of Police Accountability (COPA) by phone, mail, or in person. COPA investigates certain crimes committed by Chicago police officers, whether on or off duty. For more information, visit their website at https://www.chicagocopa.org/complaints/.

Orders of Protection","Survivors who have experienced sexual or domestic violence committed by a City of Chicago police officer can report the incident to the Civilian Office of Police Accountability (COPA) by phone, mail, or in person. COPA investigates certain crimes committed by Chicago police officers, whether on or off duty.

For more information, visit their website at www.chicagocopa.org/complaints.
A Resilience advocate can support you through the process.

<page break>Orders of Protection","S06-B02"
"Legal Process","Changed / restructured","Protections: A judge can grant up to 18 protections, including prohibiting further abuse, ordering the offender to stay away, taking away a Firearm Owners Identification (FOID) card, protecting property and pets, requiring financial support, providing temporary care of children, and ordering exclusive possession of the home. Violations of a Domestic Violence Order of Protection may result in criminal charges.

Who is eligible? Family or household members who:","A judge can grant up to 18 protections, including...

prohibiting further abuse,

ordering the offender to stay away,

taking away a Firearm Owners Identification (FOID) card,

protecting property and pets,

requiring financial support,

providing temporary care of children, and

ordering exclusive possession of the home.

Violations of a Domestic Violence Order of Protection may result in criminal charges.

Who is eligible for protection?
Family or household members who:","S06-B03"
"Legal Process","Changed / restructured","Sexual Assault Civil No Contact Order

Protections: The judge can grant any or all of the following protections:

Prohibit contact with the victim by any means, including contact through third parties;

Order the offender to stay away from the victim generally and/or to stay away from specific locations like school or work; and

Other protections as deemed necessary.

Who is eligible? Any person who is a victim of nonconsensual sexual conduct or penetration. These orders can also protect family or household members of a victim and rape crisis center employees or volunteers. Violations of a Sexual Assault Civil No Contact Order may result in criminal charges.","Illinois Gender Violence Act (GVA)

The GVA is a civil rights law that allows survivors of sex-based violence, including domestic violence and sexual assault, to sue the person who harmed them in civil court. The GVA went into effect on January 1, 2004, and may be used by any person who has experienced sex-based violence since inception. The GVA may be used by any survivor regardless of whether or not they ever filed a police report or if their abuser was ever criminally charged or prosecuted. The statute of limitations under GVA is seven years.","S06-B04"
"Legal Process","Changed / restructured","Protections: The judge can grant any or all of the following protections:","The judge can grant any or all of the following protections:","S06-B05"
"Legal Process","Changed / restructured","Who is eligible? Any person who is the victim of behaviors that cause them to fear for their safety, for the safety of another person, or to suffer emotional distress on at least two separate occasions. This excludes instances of domestic and/or sexual violence, since protections are already available via the Illinois Domestic Violence Act or through a Sexual Assault Civil No Contact Order. Violations of a Stalking No Contact Order may result in criminal charges.

Illinois Gender Violence Act (GVA)

The GVA is a civil rights law that allows survivors of sex-based violence, including domestic violence and sexual assault, to sue the person who harmed them in civil court. The GVA went into effect on January 1, 2004, and may be used by any person who has experienced sex-based violence since inception. The GVA may be used by any survivor regardless of whether or not they ever filed a police report or if their abuser was ever criminally charged or prosecuted. The statute of limitations under GVA is seven years.","Violations of a Domestic Violence Order of Protection may result in criminal charges.

Who is eligible for protection?
Any person who is the victim of behaviors that cause them to fear for their safety, for the safety of another person, or to suffer emotional distress on at least two separate occasions. This excludes instances of domestic and/or sexual violence, since protections are already available via the Illinois Domestic Violence Act or through a Sexual Assault Civil No Contact Order. Violations of a Stalking No Contact Order may result in criminal charges.

Sexual Assault Civil No Contact Order

A judge can grant any or all of the following protections:

Prohibit contact with the victim by any means, including contact through third parties;

Order the offender to stay away from the victim generally and/or to stay away from specific locations like school or work; and

Other protections as deemed necessary.

Who is eligible for protection? 
Any person who is a victim of nonconsensual sexual conduct or penetration. These orders can also protect family or household members of a victim and rape crisis center employees or volunteers. Violations of a Sexual Assault Civil No Contact Order may result in criminal charges.","S06-B06"
"Legal Process","Changed / restructured","Violence Against Women Act (VAWA): Provides protections for victims of domestic and sexual violence. If you are married to your domestic violence abuser and they are a citizen or a legal resident, you may be able to take their place in petitioning or continuing a petition for legal residency.

U-Visa: If you are a victim of domestic or sexual violence, you may be eligible for a U-Visa, which if granted, would allow you to remain in the United States for 4 years and make you eligible for work authorization. After 3 years, you may apply for legal residency. To be eligible for a U-Visa, you must report the offense and cooperate with the investigation and prosecution of the criminal case to the extent that you are asked to do so.

T-Visa: If you are a victim of human trafficking, you may be eligible for a T-Visa, which would allow you to remain in the United Sates for up to 4 years and make you eligible for work authorization and certain state and federal benefits and services. After 3 years, you may apply for legal residency. To be eligible for a T-Visa, you may be required to cooperate with an investigation and prosecution of a criminal case.","Violence Against Women Act (VAWA)

Provides protections for victims of domestic and sexual violence. If you are married to your domestic violence abuser and they are a citizen or a legal resident, you may be able to take their place in petitioning or continuing a petition for legal residency.

U-Visa

If you are a victim of domestic or sexual violence, you may be eligible for a U-Visa, which if granted, would allow you to remain in the United States for 4 years and make you eligible for work authorization. After 3 years, you may apply for legal residency. To be eligible for a U-Visa, you must report the offense and cooperate with the investigation and prosecution of the criminal case to the extent that you are asked to do so.

T-Visa

If you are a victim of human trafficking, you may be eligible for a T-Visa, which would allow you to remain in the United States for up to 4 years and make you eligible for work authorization and certain state and federal benefits and services. After 3 years, you may apply for legal residency. To be eligible for a T-Visa, you may be required to cooperate with an investigation and prosecution of a criminal case.

A Resilience advocate can support you through the process.

ourresilience.org | 312-443-9603 | info@ourresilience.org","S06-B07"
"At School and Work","Added in Suggested","","At School and Work","S07-B01"
"At School and Work","Removed from Suggested","Additionally, the Preventing Sexual Violence in Higher Education Act requires that colleges and universities provide access to a Confidential Advisor. This individual may help navigate options and is not a mandated reporter at the institution.","","S07-B02"
"At School and Work","Changed / restructured","Extensions on assignments/exams; and

Withdrawing from school without financial penalty.

*Please note that requesting accommodations from a professor or teaching assistant who is not a Confidential Advisor will trigger a mandated report.","Extensions on assignments/exams;","S07-B03"
"At School and Work","Changed / restructured","Seek medical attention or recover from physical or psychological injuries caused by domestic or sexual

violence;","Seek medical attention or recover from physical or psychological injuries caused by domestic or sexual violence;","S07-B04"
"At School and Work","Changed / restructured","Employers with 1-14 employees must allow up to 4 weeks of unpaid leave. Employers with 15 or more employees must allow up to 8 weeks of unpaid leave. Employers with 50 or more employees must allow up to 12 weeks of unpaid leave. Leave may be taken as needed during a 12-month period.

An employer may require certification that the employee is a victim of domestic or sexual violence or that a family member is a victim. Documentation can include a letter from a victim service agency like Resilience, an attorney, a member of the clergy, medical or other professional providing services to the victim, or a police or court record. Employers must maintain the confidentiality of the employee requesting to take time off under VESSA. Employers must also make reasonable accommodations in a timely manner unless doing so would cause undue hardship.","Leave

Leave may be taken as needed during a 12-month period. 
Employers with...

1-14 employees must allow up to 4 weeks of unpaid leave.

15 or more employees must allow up to 8 weeks of unpaid leave.

50 or more employees must allow up to 12 weeks of unpaid leave.

Documentation

An employer may require certification that the employee is a victim of domestic or sexual violence or that a family member is a victim. Documentation can include a letter from a victim service agency like Resilience, an attorney, a member of the clergy, medical or other professional providing services to the victim, or a police or court record.

Confidentiality

Employers must maintain the confidentiality of the employee requesting to take time off under VESSA. Employers must also make reasonable accommodations in a timely manner unless doing so would cause undue hardship.","S07-B05"
"At School and Work","Added in Suggested","","A Resilience advocate can support you through the process.

ourresilience.org | 312-443-9603 | info@ourresilience.org","S07-B06"
